Date,DayOfWeek,Guests,Event,Weather,Dish,Prepared_Qty,Sold_Qty,Waste_Qty
16-05-2024,Thursday,94,Conference,Cloudy,Pizza Margherita,50,48,9
28-12-2024,Saturday,190,,Cold,Chicken Curry,50,49,7
17-10-2024,Thursday,155,,Cloudy,Falafel Wrap,31,27,4
12-11-2024,Tuesday,302,,Cold,Avocado Toast,50,49,7
20-10-2024,Sunday,143,,Cold,Hakka Noodles,44,44,3
26-10-2024,Saturday,314,,Cold,Masala Dosa,50,48,9
19-02-2024,Monday,180,,Cold,Chole Bhature,50,48,9
22-01-2024,Monday,344,Corporate Party,Cloudy,Pav Bhaji,42,42,3
09-09-2024,Monday,72,Conference,Cloudy,Masala Dosa,36,33,3
06-01-2024,Saturday,374,Festival,Cold,Pizza Margherita,50,50,3
18-09-2024,Wednesday,70,,Hot,Masala Dosa,33,33,3
24-02-2024,Saturday,116,,Cold,Chicken Biryani,46,43,3
11-06-2024,Tuesday,140,Festival,Rainy,Veg Biryani,50,50,3
28-02-2024,Wednesday,360,Wedding,Rainy,Mutton Curry,50,47,3
26-11-2024,Tuesday,66,,Cold,Butter Naan,37,37,3
16-06-2024,Sunday,150,Wedding,Cold,Masala Dosa,36,36,3
11-01-2024,Thursday,355,,Rainy,Veg Biryani,29,25,4
26-01-2024,Friday,175,,Hot,Pasta Alfredo,42,41,7
16-11-2024,Saturday,241,Wedding,Sunny,Fried Rice,50,48,9
16-06-2024,Sunday,272,,Cold,Aloo Paratha,42,38,4
29-10-2024,Tuesday,156,,Cloudy,Paneer Butter Masala,41,37,4
05-04-2024,Friday,58,,Sunny,Hakka Noodles,31,31,3
18-07-2024,Thursday,241,Conference,Hot,Chicken Biryani,34,30,4
26-09-2024,Thursday,277,,Sunny,Chicken Biryani,49,48,7
04-09-2024,Wednesday,83,,Hot,Aloo Paratha,37,37,3
31-05-2024,Friday,269,,Rainy,Butter Naan,43,42,7
25-11-2024,Monday,201,Corporate Party,Cloudy,Veg Biryani,50,48,9
13-11-2024,Wednesday,386,Conference,Rainy,Chicken Curry,50,50,3
20-09-2024,Friday,159,,Cold,Pav Bhaji,43,42,7
05-09-2024,Thursday,321,,Cloudy,Masala Dosa,45,45,3
08-11-2024,Friday,131,,Hot,Veg Pulao,30,30,3
26-05-2024,Sunday,253,,Hot,Fried Rice,29,29,3
20-05-2024,Monday,180,Festival,Sunny,Tofu Curry,45,41,4
27-11-2024,Wednesday,307,Wedding,Sunny,Veg Biryani,50,49,7
16-07-2024,Tuesday,388,,Cloudy,Veg Pulao,37,37,3
22-04-2024,Monday,64,,Sunny,Grilled Fish,34,34,3
25-06-2024,Tuesday,304,,Cold,Pav Bhaji,43,43,3
12-07-2024,Friday,62,Conference,Cold,Idli Sambar,31,31,3
14-04-2024,Sunday,300,,Hot,Butter Naan,34,34,3
26-12-2024,Thursday,386,,Cold,Pav Bhaji,43,43,3
20-10-2024,Sunday,298,,Hot,Veg Biryani,50,50,3
04-10-2024,Friday,291,,Hot,Mutton Curry,39,39,3
10-06-2024,Monday,255,Corporate Party,Sunny,Tofu Curry,50,50,3
26-03-2024,Tuesday,211,Corporate Party,Rainy,Fried Rice,50,49,7
02-02-2024,Friday,361,Wedding,Sunny,Paneer Tikka,38,37,7
16-05-2024,Thursday,392,,Rainy,Butter Naan,30,27,3
14-01-2024,Sunday,227,,Hot,Butter Naan,37,33,4
21-01-2024,Sunday,365,,Cold,Butter Naan,50,47,3
18-09-2024,Wednesday,183,Conference,Rainy,Veg Biryani,50,48,9
29-01-2024,Monday,229,,Hot,Dal Tadka,39,39,3
22-09-2024,Sunday,319,,Cold,Masala Dosa,46,46,3
02-07-2024,Tuesday,262,,Cold,Grilled Fish,31,27,4
02-08-2024,Friday,281,,Rainy,Veg Biryani,26,26,3
06-04-2024,Saturday,315,,Cloudy,Grilled Fish,40,37,3
01-12-2024,Sunday,187,Wedding,Cloudy,Paneer Butter Masala,50,46,4
11-07-2024,Thursday,109,,Cold,Paneer Tikka,47,47,3
17-02-2024,Saturday,338,,Hot,Masala Dosa,50,46,4
27-09-2024,Friday,157,Wedding,Rainy,Chole Bhature,50,50,3
22-10-2024,Tuesday,90,,Cloudy,Veg Biryani,37,37,3
20-09-2024,Friday,380,,Cloudy,Bruschetta,48,48,3
24-07-2024,Wednesday,316,,Rainy,Chicken Curry,50,50,3
15-06-2024,Saturday,208,,Cold,Dal Tadka,50,48,9
24-08-2024,Saturday,78,,Sunny,Pasta Alfredo,50,47,3
10-01-2024,Wednesday,379,,Sunny,Paneer Butter Masala,29,29,3
03-08-2024,Saturday,331,,Cold,Pav Bhaji,50,50,3
29-10-2024,Tuesday,356,,Hot,Veg Biryani,31,31,3
10-04-2024,Wednesday,315,,Sunny,Chicken Biryani,29,29,3
19-11-2024,Tuesday,50,,Cold,Quinoa Upma,37,35,9
07-05-2024,Tuesday,345,Wedding,Cold,Pasta Alfredo,40,40,3
22-08-2024,Thursday,341,Conference,Cloudy,Butter Naan,50,49,7
05-01-2024,Friday,61,Festival,Cold,Aloo Paratha,37,35,9
23-11-2024,Saturday,209,,Rainy,Mutton Curry,50,50,3
31-03-2024,Sunday,202,Corporate Party,Sunny,Masala Dosa,50,47,3
26-12-2024,Thursday,94,Conference,Cloudy,Veg Biryani,33,33,3
21-07-2024,Sunday,94,Festival,Cloudy,Pasta Alfredo,50,46,4
25-12-2024,Wednesday,123,,Cloudy,Aloo Paratha,40,40,3
17-08-2024,Saturday,190,,Rainy,Chole Bhature,50,50,3
19-06-2024,Wednesday,199,Festival,Sunny,Pasta Alfredo,50,50,3
06-09-2024,Friday,211,,Hot,Aloo Paratha,46,46,3
28-01-2024,Sunday,219,Wedding,Sunny,Pav Bhaji,50,50,3
04-10-2024,Friday,298,Conference,Hot,Chicken Biryani,50,47,3
22-08-2024,Thursday,347,,Cold,Veg Biryani,36,32,4
28-07-2024,Sunday,90,Conference,Hot,Pasta Alfredo,32,32,3
19-12-2024,Thursday,74,,Sunny,Aloo Paratha,25,25,3
20-06-2024,Thursday,346,,Cloudy,Veg Biryani,50,50,3
08-07-2024,Monday,321,,Cloudy,Paneer Butter Masala,33,33,3
19-08-2024,Monday,171,,Cold,Chicken Curry,41,37,4
27-04-2024,Saturday,136,,Cloudy,Paneer Butter Masala,38,38,3
16-03-2024,Saturday,308,,Cloudy,Veg Biryani,48,48,3
16-05-2024,Thursday,256,,Cloudy,Dal Tadka,34,32,9
14-04-2024,Sunday,54,,Rainy,Zucchini Pasta,43,42,7
11-03-2024,Monday,337,,Rainy,Paneer Tikka,32,30,9
03-11-2024,Sunday,126,,Cold,Aloo Paratha,38,34,4
21-12-2024,Saturday,235,,Rainy,Chicken Curry,37,37,3
31-03-2024,Sunday,338,Festival,Cloudy,Veg Manchurian,50,49,7
20-01-2024,Saturday,311,,Rainy,Beetroot Salad,34,33,7
19-05-2024,Sunday,352,Conference,Sunny,Veg Pulao,50,50,3
04-06-2024,Tuesday,378,,Sunny,Grilled Fish,46,46,3
28-11-2024,Thursday,388,,Rainy,Fried Rice,50,50,3
19-12-2024,Thursday,375,,Cold,Mutton Curry,50,48,9
27-07-2024,Saturday,185,,Cloudy,Dal Tadka,31,31,3
14-04-2024,Sunday,225,Wedding,Cold,Fried Rice,50,50,3
07-01-2024,Sunday,329,,Rainy,Chicken Curry,41,38,3
26-05-2024,Sunday,156,,Hot,Aloo Paratha,44,44,3
21-10-2024,Monday,215,Wedding,Rainy,Mutton Curry,35,35,3
23-07-2024,Tuesday,179,,Cold,Chicken Curry,28,24,4
03-08-2024,Saturday,279,Corporate Party,Cloudy,Chole Bhature,46,46,3
21-11-2024,Thursday,80,Festival,Cloudy,Veg Biryani,45,45,3
05-11-2024,Tuesday,120,Festival,Hot,Veg Pulao,46,46,3
18-02-2024,Sunday,166,,Sunny,Hakka Noodles,50,49,7
15-11-2024,Friday,308,Festival,Cloudy,Veg Biryani,50,49,7
15-11-2024,Friday,51,,Cold,Butter Naan,38,35,3
01-06-2024,Saturday,117,,Sunny,Grilled Fish,47,47,3
21-05-2024,Tuesday,168,,Sunny,Hakka Noodles,38,35,3
06-02-2024,Tuesday,282,Conference,Cloudy,Paneer Butter Masala,50,50,3
18-02-2024,Sunday,324,,Hot,Chicken Curry,42,42,3
29-08-2024,Thursday,373,,Cloudy,Pav Bhaji,39,37,9
03-03-2024,Sunday,247,,Cold,Chole Bhature,50,50,3
06-02-2024,Tuesday,153,,Hot,Pizza Margherita,40,37,3
14-06-2024,Friday,307,,Cloudy,Fried Rice,50,50,3
03-11-2024,Sunday,230,Corporate Party,Cold,Chicken Curry,50,48,9
17-06-2024,Monday,241,,Cloudy,Paneer Butter Masala,29,28,7
05-03-2024,Tuesday,74,,Hot,Chicken Curry,39,37,9
22-12-2024,Sunday,66,,Cold,Chole Bhature,29,27,9
04-02-2024,Sunday,345,Festival,Hot,Pizza Margherita,41,41,3
13-06-2024,Thursday,325,,Hot,Paneer Tikka,47,43,4
10-03-2024,Sunday,141,,Cloudy,Fried Rice,28,28,3
13-04-2024,Saturday,344,Festival,Cold,Butter Naan,48,48,3
11-02-2024,Sunday,154,Wedding,Sunny,Butter Naan,50,46,4
07-05-2024,Tuesday,155,Wedding,Rainy,Aloo Paratha,50,49,7
08-03-2024,Friday,392,Wedding,Cold,Veg Biryani,50,50,3
08-08-2024,Thursday,335,,Cloudy,Dal Tadka,35,33,9
29-05-2024,Wednesday,122,,Cold,Chole Bhature,41,38,3
03-09-2024,Tuesday,202,Conference,Hot,Chole Bhature,50,48,9
11-01-2024,Thursday,354,,Sunny,Chole Bhature,35,35,3
06-03-2024,Wednesday,98,,Rainy,Masala Dosa,27,24,3
23-04-2024,Tuesday,190,,Cold,Butter Naan,36,36,3
18-08-2024,Sunday,66,,Rainy,Chicken Curry,43,43,3
14-10-2024,Monday,244,,Cold,Grilled Fish,36,33,3
31-03-2024,Sunday,354,Corporate Party,Cold,Idli Sambar,45,45,3
14-01-2024,Sunday,283,Festival,Sunny,Hakka Noodles,46,46,3
17-06-2024,Monday,266,,Rainy,Chicken Biryani,50,50,3
03-03-2024,Sunday,253,,Hot,Veg Biryani,39,36,3
11-02-2024,Sunday,250,,Cloudy,Chole Bhature,34,34,3
26-10-2024,Saturday,78,,Hot,Chole Bhature,33,33,3
01-07-2024,Monday,207,Festival,Cloudy,Dal Tadka,40,40,3
12-08-2024,Monday,108,,Sunny,Veg Biryani,37,34,3
08-08-2024,Thursday,317,,Cloudy,Idli Sambar,50,48,9
16-09-2024,Monday,101,,Cold,Pav Bhaji,42,42,3
21-08-2024,Wednesday,141,,Cold,Paneer Tikka,48,44,4
12-08-2024,Monday,131,,Cloudy,Veg Biryani,41,37,4
17-11-2024,Sunday,206,,Sunny,Paneer Tikka,38,37,7
14-01-2024,Sunday,273,,Cloudy,Masala Dosa,40,36,4
16-09-2024,Monday,397,,Cloudy,Butter Naan,50,46,4
10-01-2024,Wednesday,206,,Cold,Hakka Noodles,28,24,4
12-08-2024,Monday,59,,Cloudy,Dal Tadka,20,16,4
12-05-2024,Sunday,133,,Rainy,Grilled Fish,36,35,7
26-08-2024,Monday,70,,Hot,Paneer Butter Masala,35,35,3
04-09-2024,Wednesday,208,,Sunny,Chicken Biryani,26,26,3
03-11-2024,Sunday,333,,Rainy,Pizza Margherita,50,49,7
17-10-2024,Thursday,144,,Rainy,Butter Naan,26,24,9
22-05-2024,Wednesday,159,,Hot,Masala Dosa,40,37,3
15-05-2024,Wednesday,365,Festival,Sunny,Chicken Biryani,50,50,3
23-05-2024,Thursday,399,,Cloudy,Veg Biryani,50,50,3
05-10-2024,Saturday,85,,Cloudy,Fried Rice,22,22,3
09-09-2024,Monday,234,,Hot,Veg Biryani,32,31,7
13-01-2024,Saturday,185,,Cloudy,Grilled Fish,50,46,4
25-05-2024,Saturday,125,,Cloudy,Pizza Margherita,27,23,4
29-02-2024,Thursday,273,Festival,Hot,Butter Naan,50,47,3
30-04-2024,Tuesday,365,,Cloudy,Paneer Butter Masala,50,50,3
21-05-2024,Tuesday,244,,Rainy,Masala Dosa,35,35,3
14-05-2024,Tuesday,360,Wedding,Cloudy,Pizza Margherita,43,39,4
16-10-2024,Wednesday,196,Wedding,Cold,Fried Rice,31,31,3
01-08-2024,Thursday,100,Wedding,Sunny,Aloo Paratha,49,47,9
29-08-2024,Thursday,281,,Hot,Dal Tadka,31,31,3
11-07-2024,Thursday,354,,Hot,Idli Sambar,49,49,3
10-03-2024,Sunday,313,,Cold,Grilled Fish,48,47,7
17-03-2024,Sunday,296,,Cold,Butter Naan,30,28,9
31-08-2024,Saturday,298,,Cloudy,Dal Tadka,50,50,3
04-06-2024,Tuesday,174,,Cold,Veg Biryani,47,47,3
16-10-2024,Wednesday,123,,Hot,Pasta Alfredo,33,30,3
27-07-2024,Saturday,56,,Cold,Masala Dosa,47,44,3
01-06-2024,Saturday,382,Wedding,Cold,Dal Tadka,50,49,7
21-01-2024,Sunday,238,,Sunny,Butter Naan,41,39,9
15-09-2024,Sunday,145,,Rainy,Chicken Biryani,29,29,3
31-10-2024,Thursday,312,,Sunny,Hakka Noodles,34,30,4
24-11-2024,Sunday,284,,Sunny,Veg Manchurian,45,44,7
05-03-2024,Tuesday,282,,Cold,Pizza Margherita,34,33,7
02-12-2024,Monday,290,Festival,Cold,Fried Rice,46,46,3
16-03-2024,Saturday,179,,Cold,Idli Sambar,48,46,9
30-11-2024,Saturday,187,,Cold,Masala Dosa,33,33,3
03-03-2024,Sunday,137,,Hot,Dal Tadka,29,25,4
08-02-2024,Thursday,193,,Cold,Butter Naan,29,29,3
22-10-2024,Tuesday,390,,Hot,Paneer Tikka,50,46,4
10-08-2024,Saturday,277,Wedding,Cloudy,Dal Tadka,50,47,3
13-04-2024,Saturday,293,,Cold,Veg Biryani,50,50,3
05-03-2024,Tuesday,333,Festival,Cloudy,Pav Bhaji,50,50,3
27-11-2024,Wednesday,308,,Cold,Butter Naan,43,40,3
08-04-2024,Monday,165,,Cold,Veg Biryani,38,38,3
02-08-2024,Friday,207,Conference,Hot,Pav Bhaji,39,39,3
21-02-2024,Wednesday,271,Conference,Sunny,Pav Bhaji,40,40,3
24-11-2024,Sunday,375,,Cloudy,Pav Bhaji,50,47,3
19-06-2024,Wednesday,265,,Rainy,Paneer Tikka,24,21,3
19-09-2024,Thursday,155,,Sunny,Paneer Butter Masala,23,23,3
15-08-2024,Thursday,246,Festival,Cold,Pasta Alfredo,50,50,3
30-07-2024,Tuesday,102,Wedding,Rainy,Grilled Fish,50,50,3
14-02-2024,Wednesday,383,,Cloudy,Pav Bhaji,50,50,3
11-08-2024,Sunday,68,,Cloudy,Grilled Fish,37,37,3
01-03-2024,Friday,282,,Hot,Idli Sambar,29,25,4
12-01-2024,Friday,279,,Sunny,Grilled Fish,29,29,3
02-09-2024,Monday,141,,Hot,Chicken Curry,28,26,9
06-06-2024,Thursday,312,Corporate Party,Sunny,Fried Rice,43,43,3
30-04-2024,Tuesday,228,,Hot,Pav Bhaji,35,35,3
16-11-2024,Saturday,84,,Cloudy,Grilled Fish,47,44,3
07-03-2024,Thursday,99,,Hot,Grilled Fish,26,26,3
11-08-2024,Sunday,110,,Cloudy,Fried Rice,31,27,4
25-08-2024,Sunday,85,Festival,Sunny,Fried Rice,35,32,3
20-02-2024,Tuesday,253,,Rainy,Masala Dosa,37,37,3
01-09-2024,Sunday,292,,Cold,Aloo Paratha,41,40,7
25-10-2024,Friday,169,,Sunny,Pav Bhaji,20,20,3
21-08-2024,Wednesday,307,,Cold,Butter Naan,33,33,3
21-02-2024,Wednesday,118,,Rainy,Paneer Butter Masala,48,48,3
13-11-2024,Wednesday,70,Wedding,Cold,Chicken Curry,50,50,3
16-01-2024,Tuesday,249,,Cloudy,Chole Bhature,22,18,4
04-04-2024,Thursday,100,,Cloudy,Pizza Margherita,30,26,4
25-02-2024,Sunday,276,,Cloudy,Paneer Butter Masala,28,28,3
27-09-2024,Friday,232,Conference,Cold,Paneer Butter Masala,39,39,3
11-07-2024,Thursday,158,,Sunny,Paneer Butter Masala,40,40,3
11-01-2024,Thursday,278,Festival,Sunny,Veg Pulao,50,49,7
23-04-2024,Tuesday,310,,Cold,Hakka Noodles,47,43,4
17-08-2024,Saturday,331,,Cloudy,Dal Tadka,35,35,3
10-05-2024,Friday,98,Conference,Rainy,Dal Tadka,50,46,4
18-05-2024,Saturday,375,Wedding,Sunny,Paneer Butter Masala,50,46,4
17-06-2024,Monday,83,,Cloudy,Veg Pulao,27,27,3
29-05-2024,Wednesday,389,Conference,Rainy,Chicken Curry,50,46,4
16-11-2024,Saturday,265,,Rainy,Paneer Butter Masala,50,50,3
28-01-2024,Sunday,212,Wedding,Sunny,Veg Biryani,50,46,4
20-02-2024,Tuesday,204,Wedding,Hot,Chicken Curry,50,50,3
13-11-2024,Wednesday,223,,Hot,Pav Bhaji,36,33,3
14-11-2024,Thursday,260,,Rainy,Veg Pulao,50,50,3
18-07-2024,Thursday,390,,Cold,Paneer Butter Masala,50,50,3
18-07-2024,Thursday,178,,Sunny,Pasta Alfredo,32,28,4
28-03-2024,Thursday,383,Wedding,Rainy,Veg Pulao,50,50,3
21-02-2024,Wednesday,202,Corporate Party,Sunny,Paneer Butter Masala,39,37,9
29-01-2024,Monday,244,,Cold,Veg Biryani,43,43,3
26-12-2024,Thursday,85,,Rainy,Veg Pulao,24,24,3
22-03-2024,Friday,356,Festival,Sunny,Dal Tadka,50,47,3
08-11-2024,Friday,333,,Sunny,Veg Biryani,40,40,3
19-10-2024,Saturday,338,,Cold,Pav Bhaji,49,45,4
27-09-2024,Friday,369,Wedding,Sunny,Butter Naan,50,50,3
17-08-2024,Saturday,62,Conference,Cold,Fried Rice,50,50,3
07-09-2024,Saturday,201,Wedding,Sunny,Butter Naan,38,38,3
28-07-2024,Sunday,242,Corporate Party,Sunny,Paneer Butter Masala,41,41,3
07-05-2024,Tuesday,284,,Hot,Veg Biryani,32,28,4
11-06-2024,Tuesday,395,Conference,Sunny,Veg Biryani,50,50,3
19-12-2024,Thursday,330,,Sunny,Veg Biryani,31,31,3
22-07-2024,Monday,191,,Hot,Chicken Curry,22,21,7
28-07-2024,Sunday,250,Corporate Party,Cold,Hakka Noodles,40,40,3
19-08-2024,Monday,295,,Cold,Dal Tadka,45,45,3
02-02-2024,Friday,170,,Rainy,Chicken Biryani,34,34,3
01-09-2024,Sunday,216,,Cloudy,Pizza Margherita,41,41,3
03-05-2024,Friday,111,,Cloudy,Bajra Khichdi,35,34,7
28-12-2024,Saturday,316,,Sunny,Dal Tadka,50,50,3
06-03-2024,Wednesday,261,,Cloudy,Veg Manchurian,45,41,4
08-02-2024,Thursday,125,,Rainy,Veg Biryani,29,26,3
07-04-2024,Sunday,223,Wedding,Cloudy,Mutton Curry,36,36,3
22-10-2024,Tuesday,70,,Rainy,Dal Tadka,22,20,9
18-03-2024,Monday,361,,Hot,Miso Soup,48,48,3
01-12-2024,Sunday,309,,Sunny,Aloo Paratha,34,34,3
05-08-2024,Monday,311,,Rainy,Chicken Biryani,48,45,3
25-06-2024,Tuesday,287,,Cloudy,Dal Tadka,37,36,7
31-08-2024,Saturday,243,,Sunny,Chicken Biryani,48,48,3
25-02-2024,Sunday,128,,Cold,Veg Manchurian,35,35,3
17-02-2024,Saturday,248,Festival,Hot,Masala Dosa,50,46,4
23-09-2024,Monday,58,Wedding,Sunny,Zucchini Pasta,50,50,3
25-10-2024,Friday,359,,Rainy,Aloo Paratha,37,36,7
27-04-2024,Saturday,374,,Cloudy,Masala Dosa,50,50,3
06-06-2024,Thursday,114,,Hot,Chicken Biryani,35,31,4
30-03-2024,Saturday,145,Conference,Sunny,Dal Tadka,50,49,7
13-01-2024,Saturday,343,,Rainy,Masala Dosa,50,48,9
21-05-2024,Tuesday,126,,Sunny,Paneer Butter Masala,37,37,3
03-11-2024,Sunday,375,,Hot,Grilled Fish,50,48,9
10-02-2024,Saturday,116,Festival,Sunny,Chicken Biryani,50,49,7
11-02-2024,Sunday,91,,Rainy,Masala Dosa,35,32,3
29-12-2024,Sunday,148,Conference,Cloudy,Veg Pulao,50,46,4
12-07-2024,Friday,195,,Hot,Veg Biryani,20,20,3
05-07-2024,Friday,398,,Cloudy,Pizza Margherita,50,46,4
16-07-2024,Tuesday,263,,Cloudy,Hakka Noodles,44,43,7
12-08-2024,Monday,222,Festival,Sunny,Chicken Biryani,40,40,3
05-08-2024,Monday,262,,Rainy,Veg Biryani,22,22,3
23-11-2024,Saturday,255,,Hot,Dal Tadka,39,39,3
13-08-2024,Tuesday,376,,Hot,Butter Naan,47,47,3
01-10-2024,Tuesday,294,,Hot,Pumpkin Soup,39,38,7
22-05-2024,Wednesday,311,,Rainy,Butter Naan,43,40,3
12-02-2024,Monday,171,Festival,Sunny,Fried Rice,48,48,3
04-11-2024,Monday,289,,Cloudy,Masala Dosa,36,33,3
07-07-2024,Sunday,157,Wedding,Sunny,Chicken Biryani,40,38,9
25-07-2024,Thursday,358,,Cloudy,Veg Pulao,38,36,9
12-09-2024,Thursday,133,Corporate Party,Rainy,Idli Sambar,46,46,3
04-11-2024,Monday,306,Festival,Sunny,Butter Naan,46,46,3
30-06-2024,Sunday,335,,Hot,Chicken Curry,45,45,3
31-03-2024,Sunday,318,,Cloudy,Pasta Alfredo,40,39,7
14-08-2024,Wednesday,77,Wedding,Hot,Masala Dosa,39,39,3
27-11-2024,Wednesday,165,,Cloudy,Quinoa Upma,39,39,3
26-03-2024,Tuesday,202,Wedding,Cloudy,Tofu Curry,50,50,3
11-02-2024,Sunday,74,,Cold,Pizza Margherita,48,47,7
10-10-2024,Thursday,57,,Cloudy,Masala Dosa,30,26,4
04-11-2024,Monday,262,Festival,Hot,Hakka Noodles,28,28,3
21-06-2024,Friday,321,,Sunny,Hakka Noodles,50,50,3
07-06-2024,Friday,226,,Rainy,Chicken Curry,50,50,3
28-12-2024,Saturday,295,Wedding,Cold,Quinoa Upma,49,49,3
16-03-2024,Saturday,120,,Cloudy,Chicken Curry,37,37,3
22-10-2024,Tuesday,357,Festival,Cold,Paneer Tikka,50,47,3
24-01-2024,Wednesday,173,,Cold,Butter Naan,46,46,3
24-01-2024,Wednesday,368,Conference,Hot,Fried Rice,50,50,3
09-08-2024,Friday,109,,Rainy,Pav Bhaji,50,47,3
24-02-2024,Saturday,202,Festival,Cloudy,Chicken Biryani,33,33,3
